alpha,cl,cd,cdp,cm,top_xtr,bot_xtr
-4.0,-0.2915,0.01243,0.00561,-0.0163,0.9713,0.0543
-2.0,-0.0788,0.00746,0.00255,-0.0133,0.8522,0.5753
0.0,0.1167,0.00722,0.00255,-0.0032,0.6526,0.9122
2.0,0.3875,0.0091,0.00319,-0.0118,0.4029,0.9835
4.0,0.6458,0.01074,0.00402,-0.0209,0.2622,1.0
6.0,0.8258,0.01242,0.00558,-0.0131,0.2125,1.0
8.0,1.0077,0.01453,0.00774,-0.006,0.1702,1.0
10.0,1.1925,0.01697,0.01042,-0.0007,0.1216,1.0
12.0,1.3449,0.02171,0.01531,0.0074,0.0669,1.0
14.0,1.3968,0.03257,0.02666,0.0209,0.0388,1.0
16.0,1.3298,0.06597,0.06095,0.0107,0.0304,1.0
18.0,1.2284,0.11063,0.10639,-0.0091,0.0266,1.0
