alpha,cl,cd,cdp,cm,top_xtr,bot_xtr
-4.0,-0.1357,0.01268,0.00646,-0.0677,0.958,0.0094
-2.0,0.0735,0.00721,0.00265,-0.0646,0.9058,0.5768
0.0,0.3229,0.00594,0.0019,-0.0671,0.8334,1.0
2.0,0.5184,0.00642,0.0017,-0.0606,0.6927,1.0
4.0,0.7186,0.00803,0.0026,-0.0559,0.4918,1.0
6.0,0.911,0.011,0.00476,-0.0513,0.2359,1.0
8.0,1.0832,0.01638,0.00933,-0.0446,0.0271,1.0
10.0,1.1901,0.02681,0.02068,-0.0286,0.0043,1.0
